Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Društvo,264,Claude,5.7,0.0435,0.0,0.2143,0.0,0.1429,0.7088
Društvo,265,Ekstraktivna,2.0526,0.3333,0.2105,0.1111,0.0,0.1111,0.6968
Društvo,265,Apstraktivna,3.0,0.0333,0.0,1.0,1.0,1.0,1.0
Društvo,265,ChatGPT,2.2941,0.1333,0.0,0.2703,0.0571,0.2162,0.7272
Društvo,265,Gemini,2.0526,0.2333,0.2105,0.1111,0.0,0.1111,0.687
Društvo,265,Claude,4.3333,0.0,0.0,0.1538,0.0,0.1538,0.7297
Društvo,266,Ekstraktivna,1.5455,0.2,0.5455,0.2128,0.0444,0.2128,0.7201
Društvo,266,Apstraktivna,1.619,0.2667,0.1905,1.0,1.0,1.0,1.0
Društvo,266,ChatGPT,1.619,0.2,0.381,0.4348,0.1818,0.3913,0.7943
Društvo,266,Gemini,1.619,0.2667,0.6667,0.2174,0.0455,0.2174,0.6882
Društvo,266,Claude,2.8333,0.0667,0.0,0.3243,0.0,0.1622,0.7262
Društvo,267,Ekstraktivna,2.0,0.1786,0.2222,0.2286,0.0606,0.2286,0.7114
Društvo,267,Apstraktivna,3.2727,0.0714,0.0,1.0,1.0,1.0,1.0
Društvo,267,ChatGPT,1.8947,0.25,0.1053,0.3429,0.1212,0.3429,0.7429
Društvo,267,Gemini,2.7692,0.1071,0.0,0.2069,0.0741,0.2069,0.705
Društvo,267,Claude,4.0,0.0357,0.0,0.25,0.0909,0.25,0.7068
Društvo,268,Ekstraktivna,2.0556,0.3043,0.2222,0.0,0.0,0.0,0.6458
Društvo,268,Apstraktivna,4.625,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,268,ChatGPT,2.8462,0.0435,0.0,0.087,0.0,0.087,0.7181
Društvo,268,Gemini,2.0556,0.3478,0.3333,0.2069,0.0741,0.1379,0.6466
Društvo,268,Claude,3.7,0.0,0.0,0.0,0.0,0.0,0.6776
Društvo,269,Ekstraktivna,2.0455,0.1667,0.0909,0.0513,0.0,0.0513,0.6319
Društvo,269,Apstraktivna,3.75,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,269,ChatGPT,2.25,0.1111,0.1,0.0556,0.0,0.0556,0.6707
Društvo,269,Gemini,2.0455,0.3056,0.1818,0.0,0.0,0.0,0.6195
Društvo,269,Claude,4.5,0.0278,0.0,0.08,0.0,0.08,0.6936
