Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Biznis,394,Gemini,0.7222,0.2,0.1111,0.3158,0.027,0.1579,0.7078
Biznis,394,Claude,0.963,0.0,0.0,0.0952,0.0,0.0635,0.6515
Biznis,395,Ekstraktivna,0.3421,0.2727,0.0526,0.3077,0.0526,0.1795,0.6996
Biznis,395,Apstraktivna,0.4333,0.2727,0.0667,1.0,1.0,1.0,1.0
Biznis,395,ChatGPT,0.5909,0.1818,0.0,0.1333,0.0,0.1333,0.7098
Biznis,395,Gemini,0.3611,0.3636,0.1111,0.3243,0.1111,0.2432,0.7092
Biznis,395,Claude,0.5,0.0,0.0,0.0615,0.0,0.0615,0.6422
Biznis,396,Ekstraktivna,0.2128,0.5556,0.0851,0.2174,0.0444,0.1304,0.6928
Biznis,396,Apstraktivna,0.2941,0.2222,0.0588,1.0,1.0,1.0,1.0
Biznis,396,ChatGPT,0.4762,0.2222,0.0,0.2319,0.0597,0.2029,0.7105
Biznis,396,Gemini,0.2174,0.4444,0.0435,0.1739,0.0222,0.1304,0.6822
Biznis,396,Claude,0.2703,0.0,0.0,0.0759,0.0,0.0759,0.6683
Biznis,397,Ekstraktivna,0.2712,0.375,0.1356,0.1573,0.046,0.1124,0.6325
Biznis,397,Apstraktivna,0.6154,0.25,0.0769,1.0,1.0,1.0,1.0
Biznis,397,ChatGPT,0.6667,0.5,0.1667,0.3396,0.1569,0.2264,0.7147
Biznis,397,Gemini,0.3902,0.5,0.1951,0.1449,0.0299,0.087,0.6587
Biznis,397,Claude,0.5161,0.0,0.0,0.0667,0.0,0.0667,0.6617
Biznis,398,Ekstraktivna,0.9762,0.1905,0.1429,0.3,0.0769,0.15,0.6949
Biznis,398,Apstraktivna,1.7083,0.0476,0.0,1.0,1.0,1.0,1.0
Biznis,398,ChatGPT,2.2778,0.0476,0.1111,0.5,0.2963,0.3571,0.7345
Biznis,398,Gemini,1.1714,0.0952,0.0571,0.3562,0.0845,0.1918,0.693
Biznis,398,Claude,1.64,0.0476,0.0,0.1,0.0345,0.1,0.6948
Biznis,399,Ekstraktivna,0.8276,0.4211,0.2069,0.1562,0.0323,0.0938,0.6644
Biznis,399,Apstraktivna,0.8571,0.2632,0.1429,1.0,1.0,1.0,1.0
Biznis,399,ChatGPT,1.5,0.1053,0.0,0.1569,0.0,0.0784,0.6752
Biznis,399,Gemini,0.7742,0.2632,0.0645,0.1515,0.0938,0.1212,0.6675
Biznis,399,Claude,0.96,0.0,0.0,0.1017,0.0,0.0678,0.6361
Biznis,400,Ekstraktivna,0.6053,0.15,0.0526,0.1176,0.0,0.0882,0.6638
Biznis,400,Apstraktivna,1.0952,0.05,0.0,1.0,1.0,1.0,1.0
Biznis,400,ChatGPT,1.0952,0.25,0.0952,0.125,0.0,0.125,0.699
Biznis,400,Gemini,0.8214,0.25,0.0714,0.1053,0.0,0.0702,0.6713
Biznis,400,Claude,1.0,0.15,0.087,0.1887,0.0392,0.1509,0.7034
Biznis,401,Ekstraktivna,0.963,0.2273,0.0741,0.1091,0.0,0.0727,0.6737
Biznis,401,Apstraktivna,1.3,0.0455,0.0,1.0,1.0,1.0,1.0
Biznis,401,ChatGPT,0.963,0.2273,0.0741,0.1429,0.0,0.1071,0.6879
Biznis,401,Gemini,0.963,0.0455,0.0,0.0741,0.0,0.0741,0.6591
Biznis,401,Claude,0.8966,0.0,0.0,0.1034,0.0,0.1034,0.69
Biznis,402,Ekstraktivna,0.5143,0.4615,0.1143,0.1935,0.0333,0.0968,0.6537
Biznis,402,Apstraktivna,1.0,0.0769,0.0,1.0,1.0,1.0,1.0
Biznis,402,ChatGPT,0.8571,0.5385,0.1905,0.1818,0.0476,0.1364,0.6652
Biznis,402,Gemini,0.75,0.1538,0.0,0.2979,0.1333,0.2553,0.7069
Biznis,402,Claude,0.8182,0.0,0.0,0.2083,0.0,0.125,0.6973
Biznis,403,Ekstraktivna,0.2703,0.125,0.0,0.2059,0.0303,0.1765,0.6587
Biznis,403,Apstraktivna,0.4348,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,403,ChatGPT,0.4762,0.0,0.0,0.2857,0.0851,0.2449,0.7309
Biznis,403,Gemini,0.3704,0.0,0.0,0.2807,0.0727,0.1754,0.6629
Biznis,403,Claude,0.4762,0.0,0.0,0.1569,0.0408,0.1569,0.6669
Biznis,404,Ekstraktivna,0.3684,0.0,0.0,0.1818,0.0625,0.1515,0.69
Biznis,404,Apstraktivna,0.5833,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,404,ChatGPT,0.7368,0.0,0.0,0.2553,0.0444,0.2553,0.7168
Biznis,404,Gemini,0.4118,0.0,0.0,0.0667,0.0345,0.0667,0.6624
Biznis,404,Claude,0.875,0.0,0.0,0.0909,0.0,0.0455,0.6995
Biznis,405,Ekstraktivna,0.2903,0.25,0.0645,0.1509,0.0392,0.1509,0.705
Biznis,405,Apstraktivna,0.5294,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,405,ChatGPT,0.5294,0.125,0.0,0.0513,0.0,0.0513,0.6625
Biznis,405,Gemini,0.375,0.0,0.0,0.2609,0.1364,0.2174,0.6977
Biznis,405,Claude,0.4737,0.0,0.0,0.1463,0.0,0.0976,0.7234
Biznis,406,Ekstraktivna,7.7436,0.0603,0.5128,0.3488,0.119,0.2791,0.7024
Biznis,406,Apstraktivna,7.7436,0.0603,0.2051,1.0,1.0,1.0,1.0
Biznis,406,ChatGPT,12.5833,0.0345,0.1667,0.2609,0.0597,0.1739,0.7433
Biznis,406,Gemini,9.1515,0.0172,0.303,0.1818,0.08,0.1558,0.7118
Biznis,406,Claude,10.4138,0.0259,0.0,0.1772,0.026,0.0759,0.6713
Biznis,407,Ekstraktivna,7.0,0.0902,0.2581,0.1639,0.0339,0.1639,0.6687
Biznis,407,Apstraktivna,10.85,0.041,0.1,1.0,1.0,1.0,1.0
Biznis,407,ChatGPT,18.0833,0.0246,0.1667,0.2051,0.0541,0.2051,0.6881
Biznis,407,Gemini,12.7647,0.0082,0.0,0.1778,0.093,0.1778,0.6426
Biznis,407,Claude,11.4211,0.0,0.0,0.3404,0.0444,0.1702,0.6708
Biznis,408,Ekstraktivna,11.5588,0.0616,0.2941,0.2687,0.0923,0.2388,0.6727
Biznis,408,Apstraktivna,13.1,0.0474,0.2667,1.0,1.0,1.0,1.0
Biznis,408,ChatGPT,21.8333,0.0521,0.2222,0.2692,0.08,0.2308,0.693
Biznis,408,Gemini,20.6842,0.019,0.1053,0.2264,0.0392,0.2264,0.6311
Biznis,408,Claude,17.8636,0.0237,0.1818,0.0702,0.0,0.0702,0.6053
Biznis,409,Ekstraktivna,21.4444,0.029,0.1778,0.15,0.0256,0.125,0.6633
Biznis,409,Apstraktivna,34.4643,0.0193,0.2143,1.0,1.0,1.0,1.0
Biznis,409,ChatGPT,53.6111,0.0058,0.1111,0.1569,0.0,0.1176,0.6771
Biznis,409,Gemini,37.1154,0.0097,0.0,0.1724,0.0357,0.1724,0.6798
