Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Politika,105,Claude,6.8889,0.0274,0.0,0.1364,0.0,0.0909,0.6978
Politika,106,Ekstraktivna,12.3636,0.066,0.3273,0.24,0.0612,0.14,0.6921
Politika,106,Apstraktivna,20.6061,0.0305,0.1818,1.0,1.0,1.0,1.0
Politika,106,ChatGPT,21.9355,0.0228,0.1935,0.1892,0.0,0.1081,0.6832
Politika,106,Gemini,30.9091,0.0254,0.1818,0.1875,0.0323,0.125,0.6623
Politika,106,Claude,37.7778,0.0102,0.1111,0.1311,0.0339,0.0984,0.6718
Politika,107,Ekstraktivna,2.5405,0.3103,0.5946,0.1818,0.0,0.0909,0.68
Politika,107,Apstraktivna,4.9474,0.0862,0.1053,1.0,1.0,1.0,1.0
Politika,107,ChatGPT,4.9474,0.1034,0.4211,0.2083,0.087,0.1667,0.7159
Politika,107,Gemini,6.2667,0.0862,0.1333,0.1538,0.0,0.1026,0.6627
Politika,107,Claude,9.4,0.0517,0.0,0.1111,0.0,0.1111,0.7045
Politika,108,Ekstraktivna,11.7609,0.0266,0.1739,0.1667,0.0244,0.0952,0.6602
Politika,108,Apstraktivna,20.8077,0.0228,0.2308,1.0,1.0,1.0,1.0
Politika,108,ChatGPT,21.64,0.0304,0.24,0.1034,0.0,0.1034,0.6525
Politika,108,Gemini,33.8125,0.0076,0.0,0.1667,0.0,0.0833,0.6661
Politika,108,Claude,36.0667,0.0,0.0,0.1702,0.0,0.1277,0.6753
Politika,109,Ekstraktivna,4.1667,0.1327,0.2381,0.2222,0.0571,0.1944,0.6823
Politika,109,Apstraktivna,8.3333,0.0619,0.2857,1.0,1.0,1.0,1.0
Politika,109,ChatGPT,8.75,0.0442,0.3,0.3043,0.0909,0.2609,0.7551
Politika,109,Gemini,11.6667,0.0088,0.0,0.05,0.0,0.05,0.6583
Politika,109,Claude,10.2941,0.0177,0.1176,0.093,0.0488,0.093,0.6704
Politika,110,Ekstraktivna,4.5625,0.2821,0.6875,0.3284,0.0923,0.2388,0.7043
Politika,110,Apstraktivna,5.6154,0.0641,0.1538,1.0,1.0,1.0,1.0
Politika,110,ChatGPT,6.6364,0.0897,0.2727,0.1887,0.0,0.1509,0.7207
Politika,110,Gemini,9.125,0.0513,0.25,0.1702,0.0,0.1702,0.6603
Politika,110,Claude,9.7333,0.0,0.0,0.2041,0.0851,0.2041,0.7259
Politika,111,Ekstraktivna,12.175,0.0593,0.25,0.1644,0.0,0.1096,0.6524
Politika,111,Apstraktivna,21.1739,0.0079,0.0,1.0,1.0,1.0,1.0
